gvkeyx,bkvlps,cshtrm,dvpsxm,dvrate,epsx12,prccm,prchm,prclm,datadate,conm,indextype,tic,spii,spmi,indexcat
000001,,,,,,6039.2970,6735.3620,6039.2970,01/31/2022,S&P Industrials-Wed,LGCAP,I0001,,,S&P
000002,,,,77.9040,,6296.5280,6735.3620,6010.5500,01/31/2022,S&P Industrials-Ltd,COMPOSITE,I0002,,10,S&P
000003,,,4.0700,63.1320,,4515.5500,4818.6200,4222.6200,01/31/2022,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000004,,,,,,3600.2750,3713.8510,3369.6280,01/31/2022,American Stock Exchange Ind,NONE,I0004,,,EXCHG
000005,,,,552.9600,,35131.8600,36952.6500,33150.3300,01/31/2022,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000006,,,,158.4000,,15282.8300,16621.7000,14567.0000,01/31/2022,Dow Jones Transportation-20,SECTOR,I0006,,,DOW
000007,,,,25.7600,,954.1800,982.6300,909.8000,01/31/2022,Dow Jones Utilities-15 Stk,SECTOR,I0007,,,DOW
000008,,,,,,14239.8830,15852.1360,13094.6540,01/31/2022,Nasdaq Index Composite,COMPOSITE,I0008,,,EXCHG
000010,,5259372300.0000,,,,21098.2900,21550.1000,19912.5900,01/31/2022,S&P/TSX Composite Index,COMPOSITE,CI0051,,81,S&P/TSX
000088,,,,0.0000,,2222.7830,2461.8680,2033.6140,01/31/2022,Russell 3000 Growth (Bridge),GROWTH,I0084,,,RUSSELL
000089,,,,0.0000,,2123.0370,2225.7620,2029.1030,01/31/2022,Russell 3000 Value (Bridge),VALUE,I0085,,,RUSSELL
000092,,,,0.0000,,1979.7580,2099.0080,1892.2220,01/31/2022,Russell Top 200,LGCAP,I0093,,,RUSSELL
000101,,,,0.0000,,3419.5720,3707.8580,3211.0660,01/31/2022,Russell Top 200 Growth,GROWTH,I0094,,,RUSSELL
000104,,,,0.0000,,1547.4310,1602.8350,1513.8110,01/31/2022,Russell Top 200 Value,VALUE,I0095,,,RUSSELL
000105,,,,0.0000,,2343.9130,2551.7820,2230.6170,01/31/2022,Russell 2000 Value (Bridge),VALUE,I0097,,,RUSSELL
000118,,,,0.0000,,82.3560,88.7080,74.7180,01/31/2022,AMEX - Airline,INDUSTRY,XAL,,,EXCHG
000119,,,,0.0000,,7097.4070,7699.9700,6420.1820,01/31/2022,AMEX - Computer Technology,SPECIALTY,I0042,,,EXCHG
000125,,,,0.0000,,1290.6580,1515.1580,1187.6030,01/31/2022,Russell 2000 Growth (Bridge),GROWTH,I0096,,,RUSSELL
