gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,fyr,apdedate,fdate,act,ap,at,capx,ch,csho,dp,dvt,ebit,ebitda,glp,gp,invt,lt,ni,oiadp,oibdp,opeps,opincar,opiti,rect,txndba,txndbl,txndbr,txp,txt,xt,costat,prcc_c,prcc_f,ggroup,sic
001018,06/30/1980,1980,INDL,C,D,STD,USD,6,,,3.2010,2.7350,7.3680,0.7490,0.0560,4.9460,0.6000,0.0000,-4.5630,-3.9630,,0.0300,1.7060,12.0280,-5.7030,-4.5630,-3.9630,,,,1.2230,,,,0.0030,-0.0180,,I,3.0000,3.5000,2520,3861
001018,06/30/1981,1981,INDL,C,D,STD,USD,6,,,1.8990,0.2590,4.0330,0.2590,0.0960,5.4200,0.3480,0.0000,0.2460,0.5940,,2.7600,0.1550,8.5890,-1.0850,0.2460,0.5940,,,,0.8020,,,,0.0100,0.0100,,I,3.0000,4.6250,2520,3861
001018,06/30/1982,1982,INDL,C,D,STD,USD,6,,,1.2300,0.2070,3.7470,0.5180,0.2670,5.7150,0.2080,0.0000,0.7080,0.9160,,2.8810,0.1910,7.0560,0.1370,0.7080,0.9160,,,,0.7120,,,,0.0200,0.0300,,I,0.6250,1.8120,2520,3861
001018,06/30/1983,1983,INDL,C,D,STD,USD,6,,,1.3360,0.2880,3.9360,0.3080,0.1790,5.7150,0.1870,0.0000,0.7310,0.9180,,2.5900,0.2380,7.1620,0.0830,0.7310,0.9180,,,,0.5850,,,,0.0130,0.0120,,I,1.3750,1.3750,2520,3861
001018,06/30/1984,1984,INDL,C,D,STD,USD,6,,,1.5060,0.7890,5.0590,1.1300,0.0380,6.5600,0.2210,0.0000,0.6860,0.9070,,2.8640,0.2770,8.1450,-1.1470,0.6860,0.9070,,,,0.8150,,,,0.0000,0.0000,,I,1.6250,1.6250,2520,3861
001018,06/30/1985,1985,INDL,C,D,STD,USD,6,,,1.1560,0.5150,5.1430,0.6500,0.0600,6.5800,0.2930,0.0000,-0.0090,0.2840,,2.5580,0.2900,8.6980,-0.4840,-0.0090,0.2840,,,,0.7670,,,,0.0000,0.0000,,I,0.1250,0.6250,2520,3861
001018,06/30/1986,1986,INDL,C,D,STD,USD,6,,,1.0840,0.3970,5.1700,0.5810,,6.5800,0.2950,0.0000,1.2030,1.4980,,3.3530,0.3140,8.3230,0.4020,1.2030,1.4980,,,,0.6210,,,,0.0000,0.1760,,I,0.6250,0.1870,2520,3861
001018,06/30/1987,1987,INDL,C,D,STD,USD,6,,,0.8060,0.5410,5.0210,0.4490,0.0000,6.5800,0.2800,0.0000,-0.0410,0.2390,,1.8230,0.3030,9.0570,-0.8400,-0.0410,0.2390,,,,0.4730,,,,0.0000,0.0000,,I,0.0620,0.0620,2520,3861
001040,12/31/1980,1980,INDL,C,D,STD,USD,12,,,607.8610,89.9690,979.3210,93.1910,9.2320,20.5450,47.1060,25.4180,105.7340,152.8400,,476.4300,200.5730,531.6990,56.5930,105.7340,152.8400,,,,350.2390,,,,49.6080,40.2650,,I,22.0000,22.0000,2520,3949
001040,12/31/1981,1981,INDL,C,D,STD,USD,12,,,552.3400,107.4140,951.0870,113.1840,9.2480,23.0650,47.6970,28.9980,109.4120,157.1090,,450.1890,166.8150,496.2600,41.9810,109.4120,157.1090,,,,316.3990,,,,35.4390,41.4950,,I,27.7500,27.7500,2520,3949
001040,12/31/1982,1982,INDL,C,D,STD,USD,12,,,435.3420,60.4010,890.0690,120.7430,6.9160,23.4250,50.0310,31.6880,59.5050,109.5360,,388.9300,120.9890,465.5780,12.2710,59.5050,109.5360,,,,248.6740,,,,44.3810,23.3220,,I,16.3750,16.3750,2520,3949
001040,12/31/1983,1983,INDL,C,D,STD,USD,12,,,478.3270,73.6910,911.6400,56.1340,7.5110,25.9960,56.9750,17.1230,7.5000,64.4750,,343.3360,126.8410,443.0510,-1.4940,7.5000,64.4750,,,,260.9510,,,,14.5030,-0.9750,,I,16.0000,16.0000,2520,3949
001040,12/31/1984,1984,INDL,C,D,STD,USD,12,,,515.0640,84.3870,939.4450,63.6510,7.5700,26.2830,58.2790,16.2790,38.1550,96.4340,,390.6260,151.3690,483.5980,14.8720,38.1550,96.4340,,,,298.9720,,,,18.5990,13.8960,,I,14.5000,14.5000,2520,3949
001109,04/30/1984,1983,INDL,C,D,STD,USD,4,,,1.2040,0.5230,1.2620,0.0450,,0.6040,0.0090,0.0010,0.1240,0.1330,,0.6580,0.6790,0.5730,0.0790,0.1240,0.1330,,,,0.2820,,,,0.0180,0.0300,,I,,,2520,3944
001109,04/30/1985,1984,INDL,C,D,STD,USD,4,,,1.7330,0.5340,2.1330,0.3720,,0.7340,0.0250,0.0000,0.0310,0.0560,,0.9640,1.0270,0.8060,0.0790,0.0310,0.0560,,,,0.3930,,,,0.0020,-0.0130,,I,5.7500,6.3750,2520,3944
001109,04/30/1986,1985,INDL,C,D,STD,USD,4,,,1.8410,0.5520,2.2890,0.1220,0.0460,0.7420,0.0850,0.0000,0.0790,0.1640,,1.4130,1.1070,0.8500,0.0870,0.0790,0.1640,,,,0.4490,,,,0.0210,0.0240,,I,4.0000,4.0000,2520,3944
001109,04/30/1987,1986,INDL,C,D,STD,USD,4,,,2.0670,0.4490,2.4660,0.0570,0.0040,29.8470,0.0970,0.0000,0.1330,0.2300,,1.7210,1.1510,0.9130,0.0960,0.1330,0.2300,0.0000,,,0.7100,,,,0.0370,0.0550,,I,0.0940,0.0310,2520,3944
001109,12/31/1987,1987,INDL,C,D,STD,USD,12,,,1.7850,0.3110,2.1190,,0.0120,29.8470,,0.0000,,,,,1.3330,0.6340,,,,,,,0.3750,,,,0.0000,,,I,0.0310,0.0310,2520,3944
001109,12/31/1988,1988,INDL,C,D,STD,USD,12,,,1.4790,0.0740,1.7730,0.0700,0.1520,0.7480,0.1100,0.0000,0.0960,0.2060,,1.4840,1.1110,0.1740,0.1050,0.0960,0.2060,0.1100,,,0.1920,,,,0.0000,0.0300,,I,1.3750,1.3750,2520,3944
001109,12/31/1989,1989,INDL,C,D,STD,USD,12,,,1.3750,0.1810,1.7550,0.2070,0.0600,0.7460,0.1200,0.0000,-0.1810,-0.0610,,1.2550,1.0390,0.2980,-0.1450,-0.1810,-0.0610,-0.1900,,,0.2550,,,,0.0000,-0.0470,,I,0.7190,0.7190,2520,3944
001109,12/31/1990,1990,INDL,C,D,STD,USD,12,,,1.5180,0.2360,2.1270,0.3090,0.0010,0.6830,0.1030,0.0000,-0.1070,-0.0040,,1.4830,1.1090,0.7830,-0.0850,-0.1070,-0.0040,-0.1200,,,0.3550,,,,0.0000,-0.0060,,I,2.2500,2.2500,2520,3944
001109,12/31/1991,1991,INDL,C,D,STD,USD,12,,,1.3440,0.1220,2.6260,0.1770,0.1270,0.8380,0.0960,0.0000,0.0010,0.0970,,1.5730,0.8020,0.6950,0.1260,0.0010,0.0970,0.0200,,,0.3650,,,,0.0000,0.0390,,I,3.5000,3.5000,2520,3944
