gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,fyr,fdate,acominc,act,ap,at,ch,citotal,cshpri,dltt,dvpd,dvt,ebit,ebitda,gld,gleps,glp,gp,icapt,invt,lt,opeps,opiti,revt,seq,teq,tii,txdba,txdbca,txdbcl,txdi,txp,txt,uopi,costat,ggroup,sic,spcindcd,spcseccd
002080,11/30/2000,2000,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11,,,136.8750,20.3100,346.6800,3.2590,,11.8130,45.0000,,9.4970,7.2340,17.1500,,,,75.6790,294.1400,50.2010,97.5400,1.4900,,367.4440,249.1400,,,,,,1.7080,0.0000,4.6710,,A,2520,2511,315,976
002080,11/30/2001,2001,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11,,3.0470,98.6020,15.0100,301.4030,5.3470,,11.7020,7.4820,,9.3780,-2.2060,8.3960,0.2900,0.2900,5.2970,62.8730,241.9540,32.2440,66.9310,0.0100,,305.6760,234.4720,,,,,,-0.8240,0.0000,-1.0420,,A,2520,2511,315,976
002080,11/30/2002,2002,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11,,1.5510,102.9660,17.7380,290.8800,1.3710,,11.6980,3.0000,,9.3580,7.5070,18.3110,,,,79.2980,232.6430,43.4490,61.2370,0.6500,,323.4870,229.6430,229.6430,,,,,2.2150,0.0000,2.3690,,A,2520,2511,315,976
002080,11/30/2003,2003,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11,,2.5310,100.6970,15.1270,280.3800,15.1810,,11.6090,0.0000,,9.2610,1.9700,12.1190,,,,92.1450,220.0180,36.4540,60.3620,0.5600,,316.8570,220.0180,220.0180,,,,,-1.1540,1.5300,0.4620,,A,2520,2511,315,976
002080,11/30/2004,2004,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11,,2.8180,102.6770,19.9480,297.3660,4.0220,,11.6870,15.6040,,9.3550,3.8970,13.9280,0.2400,0.2400,3.8900,91.0730,236.8160,47.2850,76.1540,0.7200,,315.6540,221.2120,221.2120,,,,,1.8750,0.6820,2.6410,,A,2520,2511,315,976
002080,11/30/2005,2005,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11,,2.6520,103.0640,19.4210,308.6560,7.1090,7.3970,11.7860,19.0540,,9.4330,6.8470,16.4280,,,,107.6980,239.2670,48.8870,88.4430,0.9300,,335.2070,220.2130,220.2130,,,5.1880,,-1.4400,,1.8810,,A,2520,2511,315,976
002080,11/30/2006,2006,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11,02/21/2007,3.3200,105.7640,16.9270,309.9370,6.0510,6.0970,11.8080,23.5220,,9.4490,-1.9560,6.9500,0.0700,0.0700,1.3000,111.8010,239.3880,48.8800,94.0710,0.4600,,328.2140,215.8660,215.8660,,,6.3910,,-1.4370,,1.0260,,A,2520,2511,315,976
002080,11/30/2007,2007,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11,02/08/2008,1.9140,111.1220,26.1040,310.7030,3.5380,-10.7710,11.8100,28.8500,,9.4540,-13.5340,-5.1640,,,,108.7530,223.7020,50.5500,115.8510,-0.2300,,295.3840,194.8520,194.8520,,9.9020,6.0010,0.0000,-2.9630,,-4.0590,,A,2520,2511,315,976
002080,11/30/2008,2008,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11,04/29/2009,-0.4290,96.8440,18.7470,243.8250,3.7770,-42.6980,11.6640,40.3460,,17.4640,-14.0880,-6.4050,0.0700,0.0700,1.3420,122.5820,170.5250,43.8440,113.6460,-1.0900,,288.2980,130.1790,130.1790,,0.0000,0.7720,0.0000,17.4030,,16.9450,,A,2520,2511,315,976
002080,11/30/2009,2009,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11,02/18/2010,2.1180,104.5260,14.7110,216.2290,23.2210,-20.1520,11.3960,31.9530,,0.0000,-16.9610,-10.1010,,,,109.7000,142.2870,33.3880,105.8950,-1.9100,,232.7220,110.3340,110.3340,,,,,0.0000,,-1.7540,,A,2520,2511,315,976
