,gvkey,datadate,fyear,fyr,acominc,act,ap,at,ch,citotal,cshpri,dltt,dvt,ebit,ebitda,gp,icapt,invt,lt,opeps,revt,seq,txdi,txp,txt,sic,ni,pi,txpd
0,2080,11/30/2000,2000,11,1.0,136.0,20.0,346.0,3.0,3.0,11.0,45.0,9.0,7.0,17.0,75.0,294.0,50.0,97.0,1.0,367.0,249.0,1.0,0.0,4.0,2511,-3.0,15.0,1.0
1,2080,11/30/2001,2001,11,3.0,98.0,15.0,301.0,5.0,3.0,11.0,7.0,9.0,-3.0,8.0,62.0,241.0,32.0,66.0,0.0,305.0,234.0,-1.0,0.0,-2.0,2511,6.0,-4.0,1.0
2,2080,11/30/2002,2002,11,1.0,102.0,17.0,290.0,1.0,3.0,11.0,3.0,9.0,7.0,18.0,79.0,232.0,43.0,61.0,0.0,323.0,229.0,2.0,0.0,2.0,2511,-1.0,9.0,0.0
3,2080,11/30/2003,2003,11,2.0,100.0,15.0,280.0,15.0,3.0,11.0,0.0,9.0,1.0,12.0,92.0,220.0,36.0,60.0,0.0,316.0,220.0,-2.0,1.0,0.0,2511,8.0,4.0,-4.0
4,2080,11/30/2004,2004,11,2.0,102.0,19.0,297.0,4.0,3.0,11.0,15.0,9.0,3.0,13.0,91.0,236.0,47.0,76.0,0.0,315.0,221.0,1.0,0.0,2.0,2511,7.0,10.0,1.0
5,2080,11/30/2005,2005,11,2.0,103.0,19.0,308.0,7.0,7.0,11.0,19.0,9.0,6.0,16.0,107.0,239.0,48.0,88.0,0.0,335.0,220.0,-2.0,0.0,1.0,2511,5.0,9.0,1.0
6,2080,11/30/2006,2006,11,3.0,105.0,16.0,309.0,6.0,6.0,11.0,23.0,9.0,-2.0,6.0,111.0,239.0,48.0,94.0,0.0,328.0,215.0,-2.0,0.0,1.0,2511,-10.0,6.0,3.0
7,2080,11/30/2007,2007,11,1.0,111.0,26.0,310.0,3.0,-11.0,11.0,28.0,9.0,-14.0,-6.0,108.0,223.0,50.0,115.0,-1.0,295.0,194.0,-3.0,0.0,-5.0,2511,-41.0,-14.0,1.0
8,2080,11/30/2008,2008,11,-1.0,96.0,18.0,243.0,3.0,-43.0,11.0,40.0,17.0,-15.0,-7.0,122.0,170.0,43.0,113.0,-2.0,288.0,130.0,17.0,0.0,16.0,2511,-23.0,-24.0,0.0
9,2080,11/30/2009,2009,11,2.0,104.0,14.0,216.0,23.0,-21.0,11.0,31.0,0.0,-17.0,-11.0,109.0,142.0,33.0,105.0,-2.0,232.0,110.0,0.0,0.0,-2.0,2511,-3.0,-25.0,-4.0
10,2080,11/30/2010,2010,11,-1.0,91.0,24.0,197.0,11.0,-5.0,11.0,4.0,0.0,-5.0,2.0,118.0,110.0,41.0,91.0,-1.0,235.0,106.0,0.0,0.0,-1.0,2511,55.0,-3.0,-2.0
11,2080,11/30/2011,2011,11,-1.0,140.0,18.0,223.0,69.0,55.0,11.0,3.0,6.0,-11.0,-6.0,133.0,156.0,45.0,70.0,-2.0,253.0,152.0,-1.0,0.0,4.0,2511,26.0,59.0,3.0
12,2080,11/30/2012,2012,11,-2.0,132.0,22.0,227.0,45.0,26.0,10.0,3.0,15.0,14.0,20.0,146.0,160.0,57.0,69.0,0.0,269.0,157.0,-16.0,0.0,-15.0,2511,5.0,12.0,2.0
13,2080,11/30/2013,2013,11,-2.0,126.0,19.0,225.0,12.0,4.0,10.0,2.0,4.0,10.0,16.0,172.0,159.0,53.0,68.0,0.0,321.0,157.0,2.0,0.0,3.0,2511,9.0,8.0,2.0
14,2080,11/30/2014,2014,11,-2.0,135.0,22.0,240.0,26.0,8.0,10.0,1.0,5.0,14.0,22.0,182.0,158.0,57.0,83.0,0.0,340.0,156.0,0.0,0.0,5.0,2511,20.0,14.0,2.0
15,2080,11/30/2015,2015,11,-3.0,147.0,20.0,282.0,36.0,19.0,10.0,8.0,5.0,26.0,37.0,252.0,185.0,59.0,105.0,1.0,430.0,177.0,1.0,0.0,11.0,2511,15.0,31.0,5.0
16,2080,11/30/2016,2016,11,-3.0,140.0,21.0,278.0,35.0,15.0,10.0,3.0,7.0,26.0,39.0,263.0,184.0,53.0,97.0,1.0,432.0,180.0,5.0,0.0,9.0,2511,18.0,25.0,9.0
17,2080,11/30/2017,2017,11,-3.0,159.0,21.0,293.0,53.0,18.0,10.0,0.0,8.0,27.0,41.0,275.0,191.0,54.0,102.0,1.0,452.0,191.0,-1.0,0.0,9.0,2511,8.0,27.0,7.0
18,2080,11/30/2018,2018,11,-3.0,148.0,27.0,291.0,33.0,8.0,10.0,0.0,5.0,14.0,28.0,278.0,190.0,64.0,101.0,0.0,456.0,190.0,4.0,0.0,3.0,2511,-2.0,12.0,1.0
19,2080,11/30/2019,2019,11,-2.0,136.0,23.0,275.0,19.0,-1.0,10.0,0.0,5.0,2.0,17.0,274.0,178.0,66.0,97.0,0.0,452.0,178.0,-3.0,0.0,0.0,2511,-11.0,-2.0,1.0
20,2080,11/30/2020,2020,11,-2.0,160.0,23.0,402.0,45.0,-11.0,9.0,113.0,4.0,-14.0,0.0,223.0,271.0,54.0,244.0,-1.0,385.0,158.0,1.0,0.0,-7.0,2511,18.0,-17.0,0.0
22,2113,08/31/2000,2000,8,0.0,9.0,2.0,10.0,0.0,-1.0,1.0,0.0,1.0,2.0,2.0,10.0,6.0,5.0,3.0,1.0,39.0,6.0,-1.0,0.0,0.0,2330,1.0,2.0,0.0
23,2113,08/31/2001,2001,8,0.0,9.0,2.0,9.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,8.0,6.0,5.0,2.0,1.0,33.0,6.0,-1.0,0.0,0.0,2330,0.0,1.0,0.0
24,2113,08/31/2002,2002,8,0.0,10.0,4.0,10.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,5.0,4.0,0.0,29.0,6.0,0.0,0.0,0.0,2330,-1.0,0.0,0.0
25,2113,08/31/2003,2003,8,0.0,6.0,1.0,6.0,0.0,-1.0,1.0,0.0,0.0,-2.0,-2.0,6.0,4.0,4.0,1.0,-1.0,28.0,4.0,-1.0,0.0,-1.0,2330,0.0,-2.0,0.0
26,2113,08/31/2004,2004,8,0.0,7.0,1.0,7.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,9.0,5.0,3.0,2.0,0.0,32.0,5.0,-1.0,0.0,0.0,2330,-2.0,0.0,0.0
27,2113,08/31/2005,2005,8,0.0,10.0,2.0,10.0,0.0,-2.0,1.0,0.0,0.0,-3.0,-3.0,5.0,4.0,4.0,6.0,-2.0,26.0,4.0,-1.0,0.0,-1.0,2330,0.0,-3.0,0.0
28,2113,08/31/2006,2006,8,0.0,24.0,9.0,30.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,15.0,9.0,12.0,21.0,0.0,54.0,9.0,-1.0,0.0,0.0,2330,-1.0,0.0,0.0
30,2444,12/31/2000,2000,12,-23.0,1831.0,238.0,3396.0,125.0,143.0,88.0,601.0,44.0,452.0,601.0,1237.0,1668.0,510.0,2329.0,2.0,3811.0,1067.0,-18.0,0.0,121.0,3510,81.0,323.0,55.0
31,2444,12/31/2001,2001,12,-45.0,1400.0,214.0,3157.0,108.0,143.0,87.0,600.0,43.0,191.0,351.0,943.0,1711.0,557.0,2046.0,0.0,3370.0,1110.0,48.0,0.0,47.0,3510,78.0,132.0,-27.0
