,gvkey,acominc,act,ap,at,ch,citotal,cshpri,dltt,dvt,ebit,ebitda,gp,icapt,invt,lt,opeps,revt,seq,txdi,txp,txt,sic,ni,pi,txpd,prev_ni,prev2_ni,prev3_ni,t90ret,b5ret,cpiret,SNP500,SNP500_CD
2003,2080,2.0,100.0,15.0,280.0,15.0,3.0,11.0,0.0,9.0,1.0,12.0,92.0,220.0,36.0,60.0,0.0,316.0,220.0,-2.0,1.0,0.0,2511,8.0,4.0,-4.0,-1.0,6.0,-3.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,2113,0.0,6.0,1.0,6.0,0.0,-1.0,1.0,0.0,0.0,-2.0,-2.0,6.0,4.0,4.0,1.0,-1.0,28.0,4.0,-1.0,0.0,-1.0,2330,0.0,-2.0,0.0,-1.0,0.0,1.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,2444,-73.0,1715.0,321.0,3602.0,345.0,143.0,91.0,583.0,45.0,246.0,397.0,1147.0,1906.0,623.0,2279.0,1.0,4128.0,1323.0,1.0,0.0,65.0,3510,269.0,201.0,85.0,135.0,78.0,81.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,3622,-1.0,32.0,4.0,57.0,0.0,1.0,9.0,30.0,0.0,8.0,9.0,22.0,46.0,15.0,42.0,0.0,94.0,15.0,-1.0,0.0,0.0,2211,3.0,2.0,-2.0,2.0,27.0,-74.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,3647,0.0,121.0,19.0,218.0,14.0,-9.0,11.0,76.0,0.0,20.0,34.0,74.0,171.0,49.0,122.0,0.0,339.0,95.0,-3.0,0.0,-2.0,2211,7.0,-3.0,-2.0,-25.0,-4.0,-9.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,4001,-2.0,110.0,11.0,238.0,11.0,6.0,11.0,55.0,0.0,14.0,23.0,89.0,151.0,50.0,142.0,0.0,234.0,96.0,-13.0,10.0,-6.0,2273,12.0,-15.0,2.0,-17.0,4.0,0.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,4322,-1.0,97.0,30.0,134.0,12.0,2.0,27.0,18.0,0.0,19.0,22.0,70.0,85.0,45.0,66.0,0.0,347.0,51.0,-12.0,0.0,-10.0,3651,-2.0,17.0,1.0,21.0,19.0,12.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,4448,2.0,79.0,8.0,134.0,0.0,5.0,6.0,15.0,0.0,20.0,26.0,72.0,77.0,29.0,73.0,2.0,221.0,61.0,-2.0,1.0,6.0,3949,7.0,21.0,7.0,14.0,11.0,11.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,4771,0.0,89.0,2.0,120.0,12.0,2.0,6.0,0.0,3.0,12.0,17.0,69.0,93.0,32.0,26.0,1.0,291.0,93.0,-1.0,1.0,5.0,2510,10.0,14.0,7.0,8.0,5.0,4.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,5327,0.0,23.0,4.0,36.0,1.0,0.0,3.0,10.0,0.0,3.0,4.0,16.0,25.0,12.0,21.0,0.0,39.0,14.0,0.0,0.0,0.0,3140,2.0,1.0,0.0,0.0,1.0,1.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,5518,30.0,1509.0,158.0,3163.0,520.0,72.0,173.0,686.0,20.0,344.0,508.0,1938.0,2092.0,168.0,1758.0,1.0,3138.0,1405.0,22.0,66.0,69.0,3944,195.0,244.0,28.0,157.0,-171.0,59.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,5572,0.0,234.0,19.0,405.0,47.0,37.0,28.0,55.0,0.0,52.0,59.0,217.0,344.0,111.0,116.0,1.0,458.0,290.0,2.0,18.0,12.0,3634,60.0,50.0,10.0,38.0,29.0,17.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,5750,0.0,0.0,235.0,2332.0,128.0,235.0,30.0,1013.0,0.0,475.0,490.0,810.0,1927.0,1884.0,1418.0,8.0,3201.0,819.0,4.0,0.0,154.0,1531,348.0,411.0,152.0,257.0,137.0,63.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,6497,0.0,18.0,2.0,23.0,1.0,3.0,3.0,0.0,1.0,7.0,8.0,15.0,17.0,7.0,5.0,1.0,34.0,17.0,0.0,0.0,2.0,3651,5.0,7.0,3.0,4.0,5.0,5.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,6543,-4.0,679.0,78.0,1123.0,28.0,12.0,57.0,222.0,22.0,162.0,193.0,525.0,832.0,252.0,513.0,1.0,2111.0,609.0,5.0,6.0,58.0,2510,-6.0,154.0,60.0,36.0,61.0,68.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,6649,34.0,1819.0,195.0,3889.0,443.0,166.0,196.0,1012.0,104.0,353.0,520.0,930.0,3126.0,628.0,1775.0,1.0,4388.0,2114.0,15.0,0.0,109.0,2510,285.0,315.0,93.0,205.0,233.0,187.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,6669,-21.0,0.0,1040.0,6775.0,1270.0,476.0,73.0,1536.0,22.0,1103.0,1157.0,2141.0,4800.0,4198.0,3511.0,10.0,8907.0,3263.0,-52.0,0.0,455.0,1531,945.0,1207.0,503.0,751.0,545.0,417.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,6865,-1.0,0.0,349.0,1969.0,173.0,195.0,29.0,500.0,1.0,356.0,392.0,790.0,1516.0,1636.0,953.0,7.0,2919.0,1015.0,-7.0,25.0,135.0,1531,391.0,348.0,126.0,212.0,167.0,155.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,7114,-5881.0,33218.0,6060.0,65289.0,9728.0,1601.0,2234.0,4901.0,173.0,1054.0,3572.0,19835.0,32306.0,6527.0,37884.0,0.0,61680.0,26486.0,163.0,279.0,593.0,3600,405.0,477.0,389.0,-163.0,-3241.0,332.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
