gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,ni,pi,txpd,costat,ggroup
002080,11/30/2000,2000,INDL,C,D,STD,USD,10.0320,15.0670,1.9940,A,2520
002080,11/30/2001,2001,INDL,C,D,STD,USD,-2.6420,-3.6840,1.4850,A,2520
002080,11/30/2002,2002,INDL,C,D,STD,USD,6.7410,9.1100,0.3500,A,2520
002080,11/30/2003,2003,INDL,C,D,STD,USD,-0.4700,4.8670,-3.3660,A,2520
002080,11/30/2004,2004,INDL,C,D,STD,USD,8.2090,10.8500,1.7000,A,2520
002080,11/30/2005,2005,INDL,C,D,STD,USD,7.5630,9.4440,1.5700,A,2520
002080,11/30/2006,2006,INDL,C,D,STD,USD,5.4290,6.4550,3.5790,A,2520
002080,11/30/2007,2007,INDL,C,D,STD,USD,-9.9100,-13.9690,1.7850,A,2520
002080,11/30/2008,2008,INDL,C,D,STD,USD,-40.3550,-23.4100,0.2950,A,2520
002080,11/30/2009,2009,INDL,C,D,STD,USD,-22.6990,-24.4530,-3.2460,A,2520
002080,11/30/2010,2010,INDL,C,D,STD,USD,-2.0020,-2.2080,-1.5820,A,2520
002080,11/30/2011,2011,INDL,C,D,STD,USD,55.3420,59.7510,3.6510,A,2520
002080,11/30/2012,2012,INDL,C,D,STD,USD,26.7130,12.0140,2.0100,A,2520
002080,11/30/2013,2013,INDL,C,D,STD,USD,5.0960,8.1870,2.7230,A,2520
002080,11/30/2014,2014,INDL,C,D,STD,USD,9.2990,14.6070,2.3670,A,2520
002080,11/30/2015,2015,INDL,C,D,STD,USD,20.4330,31.8680,5.9060,A,2520
002080,11/30/2016,2016,INDL,C,D,STD,USD,15.8290,25.7770,9.9490,A,2520
002080,11/30/2017,2017,INDL,C,D,STD,USD,18.2560,27.8760,7.5160,A,2520
002080,11/30/2018,2018,INDL,C,D,STD,USD,8.2180,12.2060,1.4310,A,2520
002080,11/30/2019,2019,INDL,C,D,STD,USD,-1.9280,-1.7400,1.2280,A,2520
002080,11/30/2020,2020,INDL,C,D,STD,USD,-10.4210,-16.7860,0.5390,A,2520
002080,11/30/2021,2021,INDL,C,D,STD,USD,18.0420,24.2400,3.0920,A,2520
002113,08/31/2000,2000,INDL,C,D,STD,USD,1.8860,2.8320,0.0320,A,2520
002113,08/31/2001,2001,INDL,C,D,STD,USD,1.0830,1.6980,0.8280,A,2520
002113,08/31/2002,2002,INDL,C,D,STD,USD,0.1160,0.1790,0.0690,A,2520
002113,08/31/2003,2003,INDL,C,D,STD,USD,-0.9700,-1.3950,0.0000,A,2520
002113,08/31/2004,2004,INDL,C,D,STD,USD,0.5570,0.9280,0.3490,A,2520
002113,08/31/2005,2005,INDL,C,D,STD,USD,-1.2010,-2.0950,0.1180,A,2520
002113,08/31/2006,2006,INDL,C,D,STD,USD,0.4680,0.5890,0.1800,A,2520
002113,08/31/2007,2007,INDL,C,D,STD,USD,-0.9360,-1.2980,0.6510,A,2520
002444,12/31/2000,2000,INDL,C,D,STD,USD,-95.8000,323.3000,55.2000,A,2520
002444,12/31/2001,2001,INDL,C,D,STD,USD,81.8000,132.2000,-26.6000,A,2520
002444,12/31/2002,2002,INDL,C,D,STD,USD,78.4000,161.6000,-6.2000,A,2520
002444,12/31/2003,2003,INDL,C,D,STD,USD,135.2000,201.1000,85.4000,A,2520
002444,12/31/2004,2004,INDL,C,D,STD,USD,269.8000,378.5000,58.5000,A,2520
002444,12/31/2005,2005,INDL,C,D,STD,USD,385.4000,495.8000,113.4000,A,2520
002444,12/31/2006,2006,INDL,C,D,STD,USD,133.9000,309.7000,72.0000,A,2520
002444,12/31/2007,2007,INDL,C,D,STD,USD,111.6000,92.7000,6.7000,A,2520
002444,12/31/2008,2008,INDL,C,D,STD,USD,-788.1000,-632.2000,-7.8000,A,2520
002444,12/31/2009,2009,INDL,C,D,STD,USD,-586.2000,-684.7000,-90.6000,A,2520
002444,12/31/2010,2010,INDL,C,D,STD,USD,-110.6000,-84.7000,-92.5000,A,2520
002444,12/31/2011,2011,INDL,C,D,STD,USD,71.9000,89.3000,16.6000,A,2520
002444,12/31/2012,2012,INDL,C,D,STD,USD,50.0000,181.0000,17.6000,A,2520
002444,12/31/2013,2013,INDL,C,D,STD,USD,769.2000,229.6000,31.9000,A,2520
002444,12/31/2014,2014,INDL,C,D,STD,USD,245.7000,287.9000,45.5000,A,2520
002444,12/31/2015,2015,INDL,C,D,STD,USD,241.4000,315.2000,32.8000,A,2520
002444,12/31/2016,2016,INDL,C,D,STD,USD,276.0000,389.7000,32.6000,A,2520
002444,12/31/2017,2017,INDL,C,D,STD,USD,146.4000,343.3000,73.5000,A,2520
002444,12/31/2018,2018,INDL,C,D,STD,USD,265.3000,322.2000,21.7000,A,2520
002444,12/31/2019,2019,INDL,C,D,STD,USD,-131.0000,110.7000,18.2000,A,2520
002444,12/31/2020,2020,INDL,C,D,STD,USD,372.7000,472.7000,111.5000,A,2520
002444,12/31/2021,2021,INDL,C,D,STD,USD,593.3000,736.4000,,A,2520
002820,03/31/2002,2001,INDL,C,D,STD,USD,-1.4360,3.1090,,A,2520
002820,03/31/2003,2002,INDL,C,D,STD,USD,-4.5450,6.8100,,A,2520
002820,03/31/2004,2003,INDL,C,D,STD,USD,6.1500,9.2770,1.6000,A,2520
002820,03/31/2005,2004,INDL,C,D,STD,USD,10.1270,15.8060,3.9210,A,2520
002820,03/31/2006,2005,INDL,C,D,STD,USD,15.0490,23.4720,6.6980,A,2520
002820,03/31/2007,2006,INDL,C,D,STD,USD,11.5490,17.3770,4.6770,A,2520
002820,03/31/2008,2007,INDL,C,D,STD,USD,6.3120,9.0900,0.0000,A,2520
002820,03/31/2009,2008,INDL,C,D,STD,USD,0.4580,0.3220,0.0450,A,2520
002820,03/31/2010,2009,INDL,C,D,STD,USD,-3.3710,-5.7990,0.0180,A,2520
002820,03/31/2011,2010,INDL,C,D,STD,USD,2.8310,4.9610,1.5890,A,2520
002820,03/31/2012,2011,INDL,C,D,STD,USD,15.2370,32.2270,3.7510,A,2520
002820,03/31/2013,2012,INDL,C,D,STD,USD,4.9630,16.6480,6.9910,A,2520
002820,03/31/2014,2013,INDL,C,D,STD,USD,16.2380,27.8050,6.8030,A,2520
002820,03/31/2015,2014,INDL,C,D,STD,USD,23.8170,37.3270,7.3730,A,2520
002820,03/31/2016,2015,INDL,C,D,STD,USD,28.5410,44.0280,15.4430,A,2520
002820,03/31/2017,2016,INDL,C,D,STD,USD,37.9550,55.2810,18.1060,A,2520
002820,03/31/2018,2017,INDL,C,D,STD,USD,61.5020,78.5230,17.2660,A,2520
002820,03/31/2019,2018,INDL,C,D,STD,USD,68.6220,86.6760,19.9120,A,2520
002820,03/31/2020,2019,INDL,C,D,STD,USD,75.0660,92.9790,18.8390,A,2520
002820,03/31/2021,2020,INDL,C,D,STD,USD,76.6460,96.9120,19.4690,A,2520
003363,04/30/2011,2010,INDL,C,D,STD,USD,,,,A,2520
003363,04/30/2012,2011,INDL,C,D,STD,USD,-0.0080,-0.0080,0.0000,A,2520
003363,04/30/2013,2012,INDL,C,D,STD,USD,-0.0340,-0.0340,0.0000,A,2520
003622,03/31/2000,1999,INDL,C,D,STD,USD,-29.1480,-33.1950,0.1470,A,2520
003622,03/31/2001,2000,INDL,C,D,STD,USD,-73.5870,-73.6100,-0.2240,A,2520
003622,03/31/2002,2001,INDL,C,D,STD,USD,27.0020,0.1140,-0.1910,A,2520
003622,03/31/2003,2002,INDL,C,D,STD,USD,2.4870,2.7510,-1.6350,A,2520
003622,03/31/2004,2003,INDL,C,D,STD,USD,3.1030,3.3250,0.2760,A,2520
003622,03/31/2005,2004,INDL,C,D,STD,USD,2.4380,2.5430,0.0640,A,2520
003622,03/31/2006,2005,INDL,C,D,STD,USD,7.9670,3.9990,-0.0750,A,2520
003622,03/31/2007,2006,INDL,C,D,STD,USD,7.6010,10.9190,0.7380,A,2520
003622,03/31/2008,2007,INDL,C,D,STD,USD,4.3530,7.2590,1.1770,A,2520
003622,03/31/2009,2008,INDL,C,D,STD,USD,-17.0860,-15.9090,2.8540,A,2520
003622,03/31/2010,2009,INDL,C,D,STD,USD,4.7800,8.0050,2.3040,A,2520
003622,03/31/2011,2010,INDL,C,D,STD,USD,4.3060,7.1750,3.0540,A,2520
003622,03/31/2012,2011,INDL,C,D,STD,USD,5.0390,7.9380,2.8640,A,2520
003622,03/31/2013,2012,INDL,C,D,STD,USD,5.1110,8.0180,1.5640,A,2520
003622,03/31/2014,2013,INDL,C,D,STD,USD,5.7710,9.3460,4.2180,A,2520
003622,03/31/2015,2014,INDL,C,D,STD,USD,5.7180,9.1600,3.3860,A,2520
003622,03/31/2016,2015,INDL,C,D,STD,USD,6.8290,10.7440,4.1070,A,2520
003622,03/31/2017,2016,INDL,C,D,STD,USD,5.5720,8.7960,3.0370,A,2520
003622,03/31/2018,2017,INDL,C,D,STD,USD,3.0210,5.4210,1.6710,A,2520
003622,03/31/2019,2018,INDL,C,D,STD,USD,5.0190,6.7910,1.6730,A,2520
003622,03/31/2020,2019,INDL,C,D,STD,USD,6.5610,7.7680,1.6800,A,2520
003622,03/31/2021,2020,INDL,C,D,STD,USD,6.0810,7.7230,1.9720,A,2520
003647,04/30/2000,1999,INDL,C,D,STD,USD,9.3800,13.6940,2.0270,A,2520
003647,04/30/2001,2000,INDL,C,D,STD,USD,-8.3110,-12.4080,-0.3690,A,2520
003647,04/30/2002,2001,INDL,C,D,STD,USD,-3.4400,-6.1400,-2.2800,A,2520
003647,04/30/2003,2002,INDL,C,D,STD,USD,-24.8870,-2.2930,-1.4700,A,2520
003647,04/30/2004,2003,INDL,C,D,STD,USD,7.2200,10.7760,-1.3380,A,2520
003647,04/30/2005,2004,INDL,C,D,STD,USD,-17.8520,-28.7940,1.3280,A,2520
003647,04/30/2006,2005,INDL,C,D,STD,USD,-11.7960,-19.8770,1.4000,A,2520
003647,04/30/2007,2006,INDL,C,D,STD,USD,-1.3160,-3.0010,0.3930,A,2520
003647,04/30/2008,2007,INDL,C,D,STD,USD,5.3850,4.8430,0.3600,A,2520
003647,04/30/2009,2008,INDL,C,D,STD,USD,-38.8420,-6.8830,0.0690,A,2520
003647,04/30/2010,2009,INDL,C,D,STD,USD,13.1880,14.3160,1.3000,A,2520
003647,04/30/2011,2010,INDL,C,D,STD,USD,16.1640,15.0620,1.2000,A,2520
003647,04/30/2012,2011,INDL,C,D,STD,USD,13.2960,14.1980,2.4000,A,2520
003647,04/30/2013,2012,INDL,C,D,STD,USD,18.3170,20.2890,2.8000,A,2520
003647,04/30/2014,2013,INDL,C,D,STD,USD,17.4470,19.0430,3.0000,A,2520
003647,04/30/2015,2014,INDL,C,D,STD,USD,15.0710,22.9560,4.8000,A,2520
003647,04/30/2016,2015,INDL,C,D,STD,USD,16.9350,27.8980,6.7000,A,2520
003647,04/30/2017,2016,INDL,C,D,STD,USD,22.3340,29.6730,5.5000,A,2520
003647,04/30/2018,2017,INDL,C,D,STD,USD,20.8770,26.6170,4.0000,A,2520
003647,04/30/2019,2018,INDL,C,D,STD,USD,5.6760,11.8820,6.6940,A,2520
003647,04/30/2020,2019,INDL,C,D,STD,USD,-28.6670,-7.8040,4.9950,A,2520
003647,04/30/2021,2020,INDL,C,D,STD,USD,3.2180,10.9110,2.9980,A,2520
004001,12/31/2000,2000,INDL,C,D,STD,USD,-9.3260,-15.8770,-5.3480,A,2520
004001,12/31/2001,2001,INDL,C,D,STD,USD,0.5170,1.0740,-6.4470,A,2520
004001,12/31/2002,2002,INDL,C,D,STD,USD,4.5650,12.4610,-0.4390,A,2520
004001,12/31/2003,2003,INDL,C,D,STD,USD,-16.9540,-14.1650,2.8690,A,2520
004001,12/31/2004,2004,INDL,C,D,STD,USD,12.3150,21.8910,17.9370,A,2520
004001,12/31/2005,2005,INDL,C,D,STD,USD,10.1360,14.4190,5.5390,A,2520
004001,12/31/2006,2006,INDL,C,D,STD,USD,7.7030,9.6720,,A,2520
004001,12/31/2007,2007,INDL,C,D,STD,USD,6.2660,10.4710,,A,2520
004001,12/31/2008,2008,INDL,C,D,STD,USD,-31.4030,-34.0350,,A,2520
004001,12/31/2009,2009,INDL,C,D,STD,USD,-42.0980,-50.6630,,A,2520
004001,12/31/2010,2010,INDL,C,D,STD,USD,-4.6540,-6.9770,,A,2520
004001,12/31/2011,2011,INDL,C,D,STD,USD,0.9860,1.9560,,A,2520
004001,12/31/2012,2012,INDL,C,D,STD,USD,-0.9270,-1.0540,,A,2520
004001,12/31/2013,2013,INDL,C,D,STD,USD,5.2900,4.7150,,A,2520
004001,12/31/2014,2014,INDL,C,D,STD,USD,-1.4020,1.7260,,A,2520
004001,12/31/2015,2015,INDL,C,D,STD,USD,-2.4260,-2.9920,,A,2520
004001,12/31/2016,2016,INDL,C,D,STD,USD,-5.2780,-8.8290,,A,2520
004001,12/31/2017,2017,INDL,C,D,STD,USD,-9.5550,-1.8130,,A,2520
004001,12/31/2018,2018,INDL,C,D,STD,USD,-21.3840,-22.3100,,A,2520
004001,12/31/2019,2019,INDL,C,D,STD,USD,15.2710,14.9620,,A,2520
004001,12/31/2020,2020,INDL,C,D,STD,USD,-9.2080,-9.4000,,A,2520
004322,03/31/2000,1999,INDL,C,D,STD,USD,3.6200,3.0430,0.0110,A,2520
004322,03/31/2001,2000,INDL,C,D,STD,USD,12.6530,9.4250,0.7840,A,2520
004322,03/31/2002,2001,INDL,C,D,STD,USD,19.4070,10.0340,1.2780,A,2520
004322,03/31/2003,2002,INDL,C,D,STD,USD,21.5000,17.0260,1.2260,A,2520
004322,03/31/2004,2003,INDL,C,D,STD,USD,-1.0740,-2.3740,1.6250,A,2520
004322,03/31/2005,2004,INDL,C,D,STD,USD,5.9050,9.7410,0.5870,A,2520
004322,03/31/2006,2005,INDL,C,D,STD,USD,16.6300,3.3840,0.8190,A,2520
004322,03/31/2007,2006,INDL,C,D,STD,USD,3.4580,7.1370,1.2240,A,2520
004322,03/31/2008,2007,INDL,C,D,STD,USD,-9.0210,-7.6530,5.3930,A,2520
004322,03/31/2009,2008,INDL,C,D,STD,USD,-4.8170,-4.2730,0.0670,A,2520
004322,03/31/2010,2009,INDL,C,D,STD,USD,11.3150,13.7410,0.0220,A,2520
004322,03/31/2011,2010,INDL,C,D,STD,USD,15.9180,21.7090,0.7040,A,2520
004322,03/31/2012,2011,INDL,C,D,STD,USD,10.6340,13.1100,1.9420,A,2520
004322,03/31/2013,2012,INDL,C,D,STD,USD,5.9990,9.6650,1.1180,A,2520
004322,03/31/2014,2013,INDL,C,D,STD,USD,1.3170,-0.1520,1.1850,A,2520
004322,03/31/2015,2014,INDL,C,D,STD,USD,1.8930,4.9600,0.0580,A,2520
004322,03/31/2016,2015,INDL,C,D,STD,USD,-0.9680,-1.2270,0.2920,A,2520
004322,03/31/2017,2016,INDL,C,D,STD,USD,-0.2370,-0.0650,1.5240,A,2520
004322,03/31/2018,2017,INDL,C,D,STD,USD,-6.8510,-3.3900,0.3200,A,2520
004322,03/31/2019,2018,INDL,C,D,STD,USD,-2.4370,-2.7890,0.2770,A,2520
004322,03/31/2020,2019,INDL,C,D,STD,USD,-4.3070,-3.8500,0.1990,A,2520
004322,03/31/2021,2020,INDL,C,D,STD,USD,-3.9760,-3.9610,0.1970,A,2520
004448,12/31/2000,2000,INDL,C,D,STD,USD,8.1000,13.2740,3.1900,A,2520
004448,12/31/2001,2001,INDL,C,D,STD,USD,11.1390,17.4300,7.1220,A,2520
004448,12/31/2002,2002,INDL,C,D,STD,USD,11.1380,16.9430,6.8310,A,2520
004448,12/31/2003,2003,INDL,C,D,STD,USD,14.8500,21.2230,7.2070,A,2520
004448,12/31/2004,2004,INDL,C,D,STD,USD,7.8270,13.8170,8.4180,A,2520
004448,12/31/2005,2005,INDL,C,D,STD,USD,12.9160,19.2590,5.5610,A,2520
004448,12/31/2006,2006,INDL,C,D,STD,USD,8.4950,11.4610,2.5120,A,2520
004448,12/31/2007,2007,INDL,C,D,STD,USD,9.2550,14.2220,3.3240,A,2520
004448,12/31/2008,2008,INDL,C,D,STD,USD,-7.4960,-10.1800,2.1670,A,2520
