gvkeyx,bkvlps,cshtrm,dvpsxm,dvrate,epsx12,prccm,prchm,prclm,datadate,conm,indextype,tic,spii,spmi,indexcat
000003,,,0.9200,11.4000,22.8690,329.0798,360.5898,319.8298,01/31/1990,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,0.9200,11.4000,22.8690,331.8899,336.0898,322.0999,02/28/1990,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,0.9200,11.0400,21.6700,339.9400,343.5300,332.7400,03/31/1990,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0700,11.0400,21.6700,330.7998,347.2998,327.7598,04/30/1990,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0700,11.0400,21.6700,361.2300,362.2598,330.7998,05/31/1990,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0700,12.8400,21.2600,358.0198,368.7798,351.2300,06/30/1990,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0000,12.8400,21.2600,356.1499,369.7798,350.0898,07/31/1990,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0000,12.8400,21.2600,322.5600,355.5200,307.0600,08/31/1990,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0000,12.0000,21.7400,306.0498,326.5298,295.9800,09/30/1990,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0400,12.0000,21.7400,304.0000,319.6899,294.5098,10/31/1990,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0400,12.0000,21.7400,322.2200,323.0198,301.6099,11/30/1990,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,153.0100,,1.0400,12.4800,21.3400,330.2200,333.9800,321.9700,12/31/1990,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,0.9300,12.4800,21.3400,343.9299,343.9299,309.3499,01/31/1991,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,0.9300,12.4800,21.3400,367.0698,370.9600,340.3699,02/28/1991,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,0.9300,11.1600,20.9400,375.2200,379.6599,363.7300,03/31/1991,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0800,11.1600,20.9400,375.3499,391.2598,370.2698,04/30/1991,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0800,11.1600,20.9400,389.8298,389.8499,365.8298,05/31/1991,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0800,12.9600,19.4100,371.1599,389.8298,367.9800,06/30/1991,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0400,12.9600,19.4100,387.8098,387.8098,370.9199,07/31/1991,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0400,12.9600,19.4100,395.4299,396.8198,374.0898,08/31/1991,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0400,12.4800,17.8200,387.8599,397.6199,382.7698,09/30/1991,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0100,12.4800,17.8200,392.4600,393.8098,376.1099,10/31/1991,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0100,12.4800,17.8200,375.2200,398.2200,371.6299,11/30/1991,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,158.8500,,1.0100,12.1200,15.9700,417.0898,418.3198,371.3599,12/31/1991,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,0.9700,12.1200,15.9700,408.7898,421.1799,408.6399,01/31/1992,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,0.9700,12.1200,15.9700,412.7000,418.0798,406.3398,02/29/1992,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,0.9700,11.6400,16.1900,403.6899,413.7798,401.9399,03/31/1992,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0800,11.6400,16.1900,414.9500,416.2798,392.4099,04/30/1992,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0800,11.6400,16.1900,415.3499,418.7500,409.8499,05/31/1992,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0800,12.9600,17.0500,408.1399,417.2998,399.9199,06/30/1992,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0700,12.9600,17.0500,424.2100,424.7998,407.2000,07/31/1992,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0700,12.9600,17.0500,414.0298,425.1399,408.2998,08/31/1992,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0700,12.8400,18.0400,417.7998,425.2698,412.7100,09/30/1992,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0100,12.8400,18.0400,418.6799,421.1599,396.7998,10/31/1992,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0100,12.8400,18.0400,431.3499,431.9299,415.5798,11/30/1992,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,181.6600,,1.0100,12.1200,19.0900,435.7100,442.6499,428.6099,12/31/1992,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0000,12.1200,19.0900,438.7798,442.6599,426.8799,01/31/1993,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0000,12.1200,19.0900,443.3799,450.0398,428.2500,02/28/1993,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0000,12.0000,19.8400,451.6699,456.7598,441.0698,03/31/1993,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0900,12.0000,19.8400,440.1899,452.6299,432.2998,04/30/1993,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0900,12.0000,19.8400,450.1899,454.5498,436.8599,05/31/1993,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0900,13.0800,19.3300,450.5298,455.6299,442.5000,06/30/1993,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0700,13.0800,19.3300,448.1299,451.1499,441.3999,07/31/1993,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0700,13.0800,19.3300,463.5598,463.5598,446.9399,08/31/1993,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0700,12.8400,20.4200,458.9299,463.7998,449.6399,09/30/1993,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0300,12.8400,20.4200,467.8298,471.0999,456.3999,10/31/1993,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0300,12.8400,20.4200,461.7898,469.1099,454.3599,11/30/1993,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,184.0400,,1.0300,12.3600,21.8480,466.4500,471.2898,461.4500,12/31/1993,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0500,12.3600,21.8480,481.6099,482.8499,464.3599,01/31/1994,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0500,12.3600,21.8480,467.1399,482.2300,464.2598,02/28/1994,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.0500,12.6000,22.6530,445.7698,471.0898,436.1599,03/31/1994,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.1400,12.6000,22.6530,450.9099,452.7898,435.8599,04/30/1994,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.1400,12.6000,22.6530,456.5000,457.7698,440.7798,05/31/1994,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
000003,,,1.1400,13.6800,25.1200,444.2698,463.2300,439.8298,06/30/1994,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P
