,gvkey,splticrm,datadate,busdesc,ggroup,gsector,conm,tic
6843,7063,A-,12/31/1985,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6844,7063,A-,01/31/1986,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6845,7063,A-,02/28/1986,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6846,7063,A-,03/31/1986,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6847,7063,A-,04/30/1986,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6848,7063,A-,05/31/1986,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6849,7063,A-,06/30/1986,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6850,7063,A-,07/31/1986,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6851,7063,A-,08/31/1986,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6852,7063,A-,09/30/1986,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6853,7063,A-,10/31/1986,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6854,7063,A-,11/30/1986,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6855,7063,A-,12/31/1986,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6856,7063,A-,01/31/1987,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6857,7063,A-,02/28/1987,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6858,7063,A-,03/31/1987,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6859,7063,A-,04/30/1987,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6860,7063,A-,05/31/1987,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6861,7063,A-,06/30/1987,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6862,7063,A-,07/31/1987,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6863,7063,A-,08/31/1987,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6864,7063,A-,09/30/1987,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6865,7063,A-,10/31/1987,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6866,7063,A-,11/30/1987,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6867,7063,A-,12/31/1987,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6868,7063,A-,01/31/1988,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6869,7063,A-,02/29/1988,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6870,7063,A-,03/31/1988,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6871,7063,A-,04/30/1988,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6872,7063,A-,05/31/1988,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6873,7063,A-,06/30/1988,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6874,7063,A-,07/31/1988,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6875,7063,A-,08/31/1988,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6876,7063,A-,09/30/1988,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6877,7063,A-,10/31/1988,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6878,7063,A-,11/30/1988,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6879,7063,A-,12/31/1988,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6880,7063,A-,01/31/1989,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6881,7063,A-,02/28/1989,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6882,7063,A-,03/31/1989,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6883,7063,A-,04/30/1989,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6884,7063,A-,05/31/1989,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6885,7063,A-,06/30/1989,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6886,7063,A-,07/31/1989,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6887,7063,A-,08/31/1989,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6888,7063,A-,09/30/1989,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6889,7063,A-,10/31/1989,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6890,7063,A-,11/30/1989,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6891,7063,A-,12/31/1989,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6892,7063,A-,01/31/1990,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6893,7063,A-,02/28/1990,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6894,7063,A-,03/31/1990,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6895,7063,A-,04/30/1990,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
6896,7063,A-,05/31/1990,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels.",6010,60,HOST HOTELS & RESORTS INC,HST
